Where it appears,Key,English source,Current Arabic,Better Arabic (fill in)
Registration panel / calendar,all_certs,All certifications,جميع الشهادات,
Registration panel / calendar,ask_dates,Ask about dates,اسأل عن المواعيد,
Registration panel / calendar,bar_note,"Each bar covers the full length of the course, weekends included. Pick one to see the details.",مدة الدورة موضحة من خلال المربع المظلل، بما في ذلك عطلة نهاية الأسبوع,
Registration panel / calendar,board_foot,%1$d dates across %2$d certifications. Bar width is days out of the office.,%1$d موعدًا عبر %2$d شهادة. عرض الشريط يمثل أيام الغياب عن العمل.,
Registration panel / calendar,certification,Certification,الشهادة,
Registration panel / calendar,certifications,certifications,شهادات,
Registration panel / calendar,date,date,موعد,
Registration panel / calendar,days_l,days,أيام,
Registration panel / calendar,duration,Duration,المدة,
Registration panel / calendar,filter_cert,Filter by certification,تخصيص العرض,
Registration panel / calendar,find_cert,Find my certification,البحث عن الشهادة المناسبة,
Registration panel / calendar,format,Format,الصيغة,
Registration panel / calendar,from_price,from,ابتداءً من,
Registration panel / calendar,full_details,Full course details,كامل التفاصيل,
Registration panel / calendar,leads_to,Leads to,يدل على,
Registration panel / calendar,n_more_classes,+%d more this week,+%d أخرى هذا الأسبوع,
Registration panel / calendar,next_ainative,Become an AI-Native Trainer,إذا أردت أن تصبح مدربا محترفا AI-Native,
Registration panel / calendar,next_month,Next month,الشهر القادم,
Registration panel / calendar,next_progress,Progress to,يمكنك القيام ب,
Registration panel / calendar,next_start,next start,أقرب موعد,
Registration panel / calendar,one_cohort,one cohort,موعد الدورة,
Registration panel / calendar,other_dates,Other dates,أوقات أخرى,
Registration panel / calendar,prev_month,Previous month,الشهر الماضي,
Registration panel / calendar,progress_to,Progress to,التقدم إلى,
Registration panel / calendar,register_now,Register,سجّل,
Registration panel / calendar,resched,reschedule at no fee,تغيير الموعد بدون رسوم,
Registration panel / calendar,seats_left_n,%d seats left,بقي %d مقعد,
Registration panel / calendar,selected_cohort,Selected cohort,الاختيار الحالي,
Registration panel / calendar,today,today,اليوم,
Registration panel / calendar,upcoming_cohorts,Upcoming cohorts,التواريخ المتاحة,
Registration panel / calendar,weeks_ltr,Weeks run left to right,الأسابيع مرتبة أفقيًا,
Registration panel / calendar,youll_learn,You will learn,مالذي سوف تتعلمه,
Registration panel / calendar,next_batch,Next batch,الدورة القادمة,
Registration panel / calendar,investment,Investment,المبلغ المترتب,
Registration panel / calendar,exam_included,exam included,الامتحان مشمول بالرسوم,
Registration panel / calendar,pick_dates,Pick your dates,اختر التواريخ المناسبة لك,
Registration panel / calendar,batch_1,%d batch scheduled,الدوره المختاره,
Registration panel / calendar,batch_n,%d batches scheduled,%d دورات مجدولة,
Registration panel / calendar,full_schedule,See the full schedule,عرض الجدول الكامل,
Registration panel / calendar,no_dates,Dates don't work?,في حاله أن التزواريخ المسجله لا تناسبك,
Registration panel / calendar,private,Ask for a private cohort,التقدم بطلب لمواعيد اخرى,
Registration panel / calendar,scroll,Scroll for the full schedule and registration,اضغط هنا لعرض جدول التواريخ بالكامل,
Registration panel / calendar,scroll_x,scroll,الانتقال لأسفل الصفحه,
Registration panel / calendar,trained,trained,متدرب,
Registration panel / calendar,exam_fee,Exam fee,رسوم الامتحان,
Registration panel / calendar,included,included,مشمولة,
Registration panel / calendar,skip_form,Skip to the registration form,الانتقال الفوري للتسجيل,
Registration panel / calendar,all_batches,All batches,كل الدورات,
Registration panel / calendar,weekday,Weekday,أيام الأسبوع,
Registration panel / calendar,weekend,Weekend,عطلة نهاية الأسبوع,
Registration panel / calendar,show_all,Show all batches,عرض كل الدورات,
Registration panel / calendar,no_match,No batches match that filter this month,نعتذر منك عن عدم توفر التواريخ,
Registration panel / calendar,languages,"Live online in English. Also delivered in Spanish, French and Arabic — ",مباشر عبر الإنترنت بالإنجليزية. نقدّمها أيضًا بالإسبانية والفرنسية والعربية — ,
Registration panel / calendar,languages_cta,"ask about a cohort in your language, or private dates",اسأل عن دورة بلغتك أو عن مواعيد خاصة,
Registration panel / calendar,selected,Selected · next available,اختر اقرب توقيت متاح,
Registration panel / calendar,your_email,Your email,بريدك الإلكتروني,
Registration panel / calendar,seats,Seats,المقاعد,
Registration panel / calendar,total,Total,الإجمالي,
Registration panel / calendar,continue,Continue to review,انتقل لمرحله المراجعه,
Registration panel / calendar,enter_email,Enter your email to continue.,يرجى إدخال البريد الالكتروني الخاص بك,
Registration panel / calendar,course,Course,الدورة,
Registration panel / calendar,dates,Dates,التواريخ,
Registration panel / calendar,email,Email,البريد الإلكتروني,
Registration panel / calendar,total_exam,Total · exam fee included,الإجمالي · رسوم الامتحان مشمولة,
Registration panel / calendar,pay,Pay securely with Stripe,ادفع مع Stripe براحة بال,
Registration panel / calendar,pay_off,Registration temporarily unavailable,نعتذر منك التسجيل غير متاح حاليا,
Registration panel / calendar,book_another,Book another seat,إضافة تسجيل آخر,
Registration panel / calendar,fine,Need to move dates? Rescheduling carries no fee. The exam fee is included in the price.,في حال الطلب لتغيير الوقت، يمكنك ظلب ذلك بدون دفع أي وسوم إضافيه,
Registration panel / calendar,step_details,Your details,بياناتك,
Registration panel / calendar,step_pay,Review & pay,التاكد من المعلومات قبل الدفع,
Registration panel / calendar,next_avail,Next available,اقرب تاريخ متاح,
Registration panel / calendar,seats_left,%d seats left,بقي %d مقاعد,
Registration panel / calendar,seats_open,Seats open,مقاعد متاحة,
Registration panel / calendar,week_of,Week of,أسبوع,
