Date,Time,X,Instagram,LinkedIn,Text,Hashtags,Link,Image Idea
26/08/2026,09:30,yes,yes,yes,"US private AI investment hit $109.1B in 2024 - about 12x China's $9.3B and 24x the UK's $4.5B. The money behind the AI revolution is overwhelmingly American. (Source: Stanford HAI)","#AI #AIInvestment #VentureCapital",https://report-ai.org/geography-of-ai/,"Bar chart US $109B towering over China $9.3B and UK $4.5B"
27/08/2026,09:30,yes,yes,yes,"The US hosts about 74.5% of the world's AI-supercomputer performance. China is a distant second near 15%; the entire EU sits around 5%. Compute is even more concentrated than capital. (Source: Epoch AI)","#AI #Compute #DataCenters",https://report-ai.org/geography-of-ai/,"World map shaded by compute share, US glowing at ~75%"
28/08/2026,09:30,yes,yes,yes,"Notable AI models released in 2024: US 40, China 15, Europe just 3. The frontier is being built in very few places. (Source: Stanford HAI)","#AI #MachineLearning #Innovation",https://report-ai.org/geography-of-ai/,"Three columns 40 / 15 / 3 labelled US, China, Europe"
31/08/2026,09:30,yes,yes,yes,"The AI capability gap is collapsing. China's best model now trails the top US model by just 2.7% on LMArena - down from about 31.6% in 2023. (Source: Stanford HAI)","#AI #LLM #China",https://report-ai.org/geography-of-ai/,"Shrinking gap arrow 31.6% -> 2.7%, 2023 to 2026"
01/09/2026,09:30,yes,yes,yes,"China filed roughly 69.7% of all global AI patents in 2023 - versus 14.2% for the US. On research output it is a genuine peer, not a bystander. (Source: Stanford HAI / WIPO)","#AI #Patents #China",https://report-ai.org/geography-of-ai/,"Donut 69.7% China vs 14.2% US, patent icon"
02/09/2026,09:30,yes,yes,yes,"China's DeepSeek says it trained its R1 reasoning model for just $294,000 - after which R1 became the most-downloaded open-weight model on Hugging Face. (Source: Nature)","#AI #DeepSeek #OpenSource",https://report-ai.org/geography-of-ai/,"Tiny $294K price tag beside a giant GPU stack"
03/09/2026,09:30,yes,yes,yes,"US states filed roughly 1,130 AI bills across about 40 states in 2025, with around 131 enacted. With no federal law, the states moved first. (Source: NCSL)","#AI #AIRegulation #AIPolicy",https://report-ai.org/indexes/regulating-ai/ai-regulation-by-country-2026/,"US map lit up with 1,130 bill markers"
04/09/2026,09:30,yes,yes,yes,"South Korea's AI Basic Act took effect on 22 January 2026 - Asia's first comprehensive national AI statute. Penalties are gentle by design: up to about KRW 30M (~$20,000). (Source: Cooley)","#AI #AIRegulation #SouthKorea",https://report-ai.org/indexes/regulating-ai/ai-regulation-by-country-2026/,"Korean flag with 'Asia's first' banner and a calendar"
07/09/2026,09:30,yes,yes,yes,"Texas's new AI governance law, TRAIGA, tops out at $200,000 per violation - one of the steepest US state AI penalties, enforced by the attorney general alone. (Source: Norton Rose Fulbright)","#AI #AIRegulation #Texas",https://report-ai.org/indexes/regulating-ai/ai-regulation-by-country-2026/,"Texas outline with a $200K per-violation stamp"
08/09/2026,09:30,yes,yes,yes,"Japan built an AI law with zero monetary penalties. Its AI Promotion Act is deliberately non-punitive - the government's only real lever is naming bad actors publicly. (Source: White & Case)","#AI #AIRegulation #Japan",https://report-ai.org/indexes/regulating-ai/ai-regulation-by-country-2026/,"Big $0 penalty with a Japanese-flag accent"
09/09/2026,09:30,yes,yes,yes,"The odds are brutal: historically only about 2-3% of bills introduced in the US Congress ever become law. A brand-new AI emergency-power bill starts below even that line. (Source: GovTrack)","#AI #AIPolicy #Congress",https://report-ai.org/indexes/regulating-ai/ai-kill-switch-bill-forecast-2026/,"Funnel: many bills in, tiny 2-3% out"
10/09/2026,09:30,yes,yes,yes,"In July 2025 the US Senate voted 99-1 to protect states' power to regulate AI, stripping a proposed moratorium. A rare near-unanimous signal on AI federalism. (Source: US Senate Commerce Committee)","#AI #AIRegulation #AIPolicy",https://report-ai.org/indexes/regulating-ai/ai-kill-switch-bill-forecast-2026/,"Scoreboard reading 99-1"
11/09/2026,09:30,yes,yes,yes,"AI lobbying is hitting records. In the first half of 2026 Anthropic's federal lobbying roughly tripled to about $3.5M and OpenAI's nearly doubled to about $2.2M. (Source: CNBC)","#AI #Lobbying #AIPolicy",https://report-ai.org/indexes/regulating-ai/ai-kill-switch-bill-forecast-2026/,"Two rising bars: Anthropic $3.5M, OpenAI $2.2M"
