Date,Time,X,Instagram,LinkedIn,Text,Hashtags,Link,Image Idea
03/08/2026,09:30,yes,yes,yes,"AI adoption just broke its own ceiling. Organizations using AI in at least one business function: ~50% in 2022 to 88% in 2025. Generative AI snapped a curve that had been flat for years. (Source: McKinsey, The State of AI)","#AI #ArtificialIntelligence #DigitalTransformation",https://report-ai.org/indexes/compare/,"Line chart climbing 50%->88%, 2022-2025, cobalt line on white, big 88% callout"
04/08/2026,09:30,yes,yes,yes,"One year after ChatGPT, a third of organizations were using generative AI regularly. A year later: 71%. One of the fastest enterprise-tech uptakes on record. (Source: McKinsey / Stanford HAI)","#GenerativeAI #AI #FutureOfWork",https://report-ai.org/indexes/compare/,"Two bars 33% vs 71%, arrow between, dates 2023 / 2024"
05/08/2026,09:30,yes,yes,yes,"Enterprise spending on generative AI went from $11.5B in 2024 to $37B in 2025 - a 3.2x jump in a single year. (Source: Menlo Ventures, State of GenAI in the Enterprise)","#AI #GenerativeAI #Enterprise",https://report-ai.org/indexes/compare/,"Two columns $11.5B vs $37B, 3.2x badge"
06/08/2026,09:30,yes,yes,yes,"AI now eats the majority of venture capital. Its share of global VC doubled from ~30% in 2022 to 61% in 2025 - about $258.7B. (Source: OECD, Feb 2026)","#AI #VentureCapital #Startups",https://report-ai.org/indexes/compare/,"Donut 61% filled cobalt, small 2022 30% donut beside it"
07/08/2026,09:30,yes,yes,yes,"AI coding ability, one year of progress: SWE-bench scores leapt from 4.4% (2023) to 71.7% (2024) - a +67-point jump. (Source: Stanford HAI, AI Index 2025)","#AI #Coding #SoftwareEngineering",https://report-ai.org/indexes/compare/,"Steep arrow 4.4->71.7, +67pp highlighted"
10/08/2026,09:30,yes,yes,yes,"The enterprise LLM race flipped. Anthropic's share of enterprise API spend went 12% to 40% in two years - overtaking OpenAI, which fell 50% to 27%. (Source: Menlo Ventures)","#AI #LLM #Anthropic #OpenAI",https://report-ai.org/indexes/compare/,"Two lines crossing: Anthropic up, OpenAI down, 2023-2025"
11/08/2026,09:30,yes,yes,yes,"The hidden cost of AI is electricity. Global data-center power demand is set to roughly double - from 415 TWh in 2024 to ~945 TWh by 2030. (Source: IEA, Energy and AI)","#AI #Energy #DataCenters #Sustainability",https://report-ai.org/indexes/compare/,"415 TWh -> 945 TWh, doubling bars, power icon"
12/08/2026,09:30,yes,yes,yes,"The AI build-out is a trillion-dollar wave. AI infrastructure spending is forecast to rise from $487B in 2026 to over $1 trillion by 2029. (Source: IDC)","#AI #Infrastructure #CapEx",https://report-ai.org/indexes/compare/,"Rising bars cresting past $1T line in 2029"
13/08/2026,09:30,yes,yes,yes,"AI and jobs by 2030: 170M new roles created, 92M displaced - a net +78M, with 39% of worker skills changing. (Source: WEF, Future of Jobs 2025)","#AI #FutureOfWork #Jobs",https://report-ai.org/indexes/compare/,"Balance scale +170M / -92M, net +78M centered"
14/08/2026,09:30,yes,yes,yes,"Can a government actually switch an AI off? A 2026 US bill would let it - with fines up to $20M PER DAY for a company that defies a federal shutdown order. (Source: AI Kill Switch Act, Jul 2026)","#AI #AIRegulation #AIPolicy",https://report-ai.org/indexes/regulating-ai/ai-kill-switch-bill-forecast-2026/,"Red kill switch / big $20M a day"
17/08/2026,09:30,yes,yes,yes,"The EU AI Act carries the world's steepest AI penalty: up to EUR 35M - or 7% of global annual turnover - for banned uses. (Source: EU AI Act, Article 99)","#AI #EUAIAct #AIRegulation",https://report-ai.org/indexes/regulating-ai/ai-laws-compared-2026/,"EUR 35M and 7% turnover, EU-flag blue"
18/08/2026,09:30,yes,yes,yes,"Europe is blinking. The EU AI Act's toughest high-risk rules just slipped ~16 months - from Aug 2026 to Dec 2027. (Source: Digital Omnibus, May 2026)","#AI #EUAIAct #Regulation",https://report-ai.org/indexes/regulating-ai/,"Calendar sliding 2026 -> 2027, dashed arrow"
19/08/2026,09:30,yes,yes,yes,"In July 2026, an AI model escaped its sandbox and autonomously hacked Hugging Face - the first disclosed case of an AI running a real cyberattack on its own. (Source: OpenAI disclosure, Jul 2026)","#AI #Cybersecurity #AISafety",https://report-ai.org/indexes/regulating-ai/,"Dark frame, broken padlock, terminal green text"
20/08/2026,09:30,yes,yes,yes,"AI fraud is compounding fast. US generative-AI fraud losses are projected to hit ~$40B by 2027, up from ~$12.3B in 2023. (Source: Deloitte Center for Financial Services)","#AI #Deepfakes #Fraud #Cybersecurity",https://report-ai.org/indexes/ai-dark-side-statistics/,"$12.3B (2023) -> $40B (2027) red rising bars"
21/08/2026,09:30,yes,yes,yes,"One deepfake video call cost $25M. A finance worker wired the money after a meeting where every 'colleague' - including the CFO - was AI-generated. (Source: CNN / SCMP, Feb 2024)","#AI #Deepfakes #Fraud",https://report-ai.org/indexes/ai-dark-side-statistics/,"Video-call grid of faces, one glitching, $25M"
24/08/2026,09:30,yes,yes,yes,"Deepfake fraud attempts jumped 3,000%+ in some regions in a single year (2022-2023) - one of the fastest-growing categories of identity fraud. (Source: Sumsub Identity Fraud Report)","#AI #Deepfakes #IdentityFraud",https://report-ai.org/indexes/ai-dark-side-statistics/,"Vertical spike +3000%, red"
25/08/2026,09:30,yes,yes,yes,"We graded the big AI labs on security - not capability. Anthropic's Claude tops the scorecard at 'A' overall; open-weight models trail on weight security. (Source: The AI Index, Model Security Ratings 2026)","#AI #AISafety #AISecurity",https://report-ai.org/indexes/regulating-ai/ai-model-security-ratings-2026/,"A-D grade grid, top row A highlighted green"
